airport_id,name,city,country,iata_faa,latitude,longitude
7151,Port Protection Seaplane Base,Port Protection,United States,PPV,56.328889,-133.61
7152,North Whale Seaplane Base,North Whale Pass,United States,WWP,56.116389,-133.121667
7153,Chignik Lake Airport,Chignik Lake,United States,KCQ,56.255,-158.775278
7154,Egegik Airport,Egegik,United States,EGX,58.185556,-157.375556
7155,Chignik Lagoon Airport,Chignik Lagoon,United States,KCL,56.311111,-158.534167
7156,Chignik Bay Seaplane Base,Chignik,United States,KBW,56.295556,-158.401398
7157,Perryville Airport,Perryville,United States,KPV,55.906667,-159.160833
7158,Pilot Point Airport,Pilot Point,United States,PIP,57.585393,-157.571944
7159,South Naknek Airport,South Naknek,United States,WSN,58.702222,-157.0025
7160,Akhiok Airport,Akhiok,United States,AKK,56.938611,-154.1825
7161,Karuluk Airport,Karluk,United States,KYK,57.566944,-154.450278
7162,Larsen Bay Airport,Larsen Bay,United States,KLN,57.535,-153.976667
7163,Old Harbor Airport,Old Harbor,United States,OLH,57.218056,-153.269722
7164,Ouzinkie Airport,Ouzinkie,United States,KOZ,57.922876,-152.500511
7165,Port Lions Airport,Port Lions,United States,ORI,57.885278,-152.846111
7166,Alitak Seaplane Base,Lazy Bay,United States,ALZ,56.899444,-154.247778
7167,Amook Bay Seaplane Base,Amook Bay,United States,AOS,57.471389,-153.815278
7168,Kitoi Bay Seaplane Base,Kitoi Bay,United States,KKB,58.190833,-152.370556
7169,Moser Bay Seaplane Base,Moser Bay,United States,KMY,57.025556,-154.145833
7170,Olga Bay Seaplane Base,Olga Bay,United States,KOY,57.161389,-154.229722
7171,Port Bailey Seaplane Base,Port Bailey,United States,KPY,57.93,-153.040556
7172,Port Williams Seaplane Base,Port Williams,United States,KPR,58.49,-152.582222
7173,Seal Bay Seaplane Base,Seal Bay,United States,SYB,58.166667,-152.5
7174,San Juan - Uganik Seaplane Base,San Juan,United States,WSJ,57.730278,-153.320556
7175,West Point Village Seaplane Base,West Point,United States,KWP,57.77,-153.548889
7176,Zachar Bay Seaplane Base,Zachar Bay,United States,KZB,57.55,-153.75
7177,Ambler Airport,Ambler,United States,ABL,67.106389,-157.8575
7178,Buckland Airport,Buckland,United States,BKC,65.981667,-161.149167
7179,Bob Baker Memorial Airport,Kiana,United States,IAN,66.975833,-160.436667
7180,Kobuk Airport,Kobuk,United States,OBU,66.912222,-156.897222
7181,Robert Curtis Memorial Airport,Noorvik,United States,ORV,66.8175,-161.022222
7182,Selawik Airport,Selawik,United States,WLK,66.6,-159.985833
7183,Brevig Mission Airport,Brevig Mission,United States,KTS,65.331389,-166.465833
7184,Elim Airport,Elim,United States,ELI,64.615,-162.270556
7185,Golovin Airport,Golovin,United States,GLV,64.550556,-163.007222
7186,Teller Airport,Teller,United States,TLA,65.240278,-166.339444
7187,Wales Airport,Wales,United States,WAA,65.6225,-168.095
7188,White Mountain Airport,White Mountain,United States,WMO,64.689167,-163.412778
7189,Council Airport,Council,United States,CIL,64.897778,-163.703333
7190,Koyuk Alfred Adams Airport,Koyuk,United States,KKA,64.939444,-161.154167
7191,St. Michael Airport,St. Michael,United States,SMK,63.49,-162.110278
7192,Shaktoolik Airport,Shaktoolik,United States,SKK,64.371111,-161.223889
7193,Stebbins Airport,Stebbins,United States,WBB,63.515833,-162.278056
7194,Tin City LRRS Airport,Tin City,United States,TNC,65.563056,-167.921667
7195,Atka Airport,Atka,United States,AKB,52.220278,-174.206389
7196,Nikolski Air Station,Nikolski,United States,IKO,52.941667,-168.848889
7197,Icy Bay Airport,Icy Bay,United States,ICY,59.968889,-141.661667
7198,Yakataga Airport,Yakataga,United States,CYT,60.081901,-142.493611
7199,Alakanuk Airport,Alakanuk,United States,AUK,62.68,-164.66
7200,Sheldon Point Airport,Nunam Iqua,United States,SXP,62.520556,-164.847778
7201,Kipnuk Airport,Kipnuk,United States,KPN,59.933056,-164.030556
7202,False Pass Airport,False Pass,United States,KFP,54.8475,-163.410278
7203,Nelson Lagoon,Nelson Lagoon,United States,NLG,56.0075,-161.160278
7204,Port Moller Airport,Cold Bay,United States,PML,56.006111,-160.560833
7205,Klawock Airport,Klawock,United States,KLW,55.579167,-133.076111
7206,Quinhagak Airport,Quinhagak,United States,KWN,59.755,-161.845278
7207,Kotlik Airport,Kotlik,United States,KOT,63.030556,-163.532778
7208,Koyukuk Airport,Koyukuk,United States,KYU,64.875833,-157.730556
7209,Scammon Bay Airport,Scammon Bay,United States,SCM,61.845278,-165.571389
7210,Nondalton Airport,Nondalton,United States,NNL,59.966944,-154.851667
7211,Pedro Bay Airport,Pedro Bay,United States,PDB,59.782222,-154.1325
7212,Nunapitchuk Airport,Nunapitchuk,United States,NUP,60.905833,-162.439167
7213,Kongiganak Airport,Kongiganak,United States,KKH,59.960833,-162.881111
7214,Nikolai Airport,Nikolai,United States,NIB,63.010833,-154.383889
7215,Takotna Airport,Takotna,United States,TCT,62.971944,-156.082778
7216,Pilot Station Airport,Pilot Station,United States,PQS,61.934444,-162.899444
7217,Akiak Airport,Akiak,United States,AKI,60.902778,-161.230556
7218,Tuluksak Airport,Tuluksak,United States,TLT,61.096944,-160.969444
7219,Grayling Airport,Grayling,United States,KGX,62.894444,-160.065
7220,Wainwright Airport,Wainwright,United States,AIN,70.638056,-159.994722
7221,ZAPALA,ZAPALA,Argentina,APZ,-38.9755,-70.113581
7222,Rincon de los Sauces,Rincon de los Sauces,Argentina,RDS,-37.390617,-68.904211
7223,Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN,-45.6,-69.083333
7224,Grytvyken,Grytvyken,South Georgia and the Islands,,-54.276667,-36.511667
7225,Rio Turbio,Rio Turbio,Argentina,RYO,-51.533333,-72.3
7226,Puerto Natales,Puerto Natales,Chile,PNT,-51.733333,-72.516667
7227,Caleta Olivia,Caleta Olivia,Argentina,CVI,-46.4333,-67.5333
7228,Fitz Roy,El Chalten,Argentina,,-47.033333,-67.25
7229,Sierra Grande,Sierra Grande,Argentina,SGV,-41.6,-65.366667
7230,Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,IGB,-41.3,-69.5833
7231,Lago Posadas,Lago Posadas,Argentina,,-47.533333,-71.75
7232,El Chalten,El Chalten,Argentina,ELX,-49.328889,-72.93
7233,Chenega Bay Airport,Chenega,United States,NCN,60.077222,-147.991944
7234,Chisana Airport,Chisana,United States,CZN,62.071111,-142.048333
7235,Tok Junction Airport,Tok,United States,6K8,63.329444,-142.953611
7236,Circle City Airport,Circle,United States,IRC,65.827778,-144.076111
7237,Coffman Cove Seaplane Base,Coffman Cove,United States,KCC,56.014722,-132.833889
7238,Crooked Creek Airport,Crooked Creek,United States,CKD,61.867778,-158.135
7239,Red Devil Airport,Red Devil,United States,RDV,61.788056,-157.350278
7240,Sleetmute Airport,Sleetmute,United States,SLQ,61.700566,-157.165833
7241,Stony River 2 Airport,Stony River,United States,SRV,61.7875,-156.591111
7242,Healy River Airport,Healy,United States,HKB,63.8675,-148.968889
7243,Kake Seaplane Base,Kake,United States,KAE,56.973056,-133.945556
7244,Klawock Seaplane Base,Klawock,United States,AQC,55.554658,-133.101693
7245,Minchumina Airport,Lake Minchumina,United States,MHM,63.886111,-152.301944
7246,Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,64.9975,-150.644167
7247,St. George Airport,St. George,United States,STG,56.577222,-169.663611
7248,Tatitlek Airport,Tatitlek,United States,TEK,60.8725,-146.691111
7249,Ketchikan harbor Seaplane Base,Ketchikan,United States,WFB,55.344444,-131.663333
7250,Fox Harbour Airport,Fox Harbour,Canada,,45.87,-63.461111
7251,Natuashish Airport,Natuashish,Canada,,55.913889,-61.184444
7252,Postville Airport,Postville,Canada,YSO,54.910278,-59.785278
7253,Kangiqsujuaq - Wakeham Bay Airport,Kangiqsujuaq,Canada,YWB,61.588611,-71.929444
7254,Alma Airport,Alma,Canada,YTF,48.508611,-71.641389
7255,Havre Saint-Pierre Airport,Havre-Saint-Pierre,Canada,YGV,50.281944,-63.611389
7256,Rimouski Airport,Rimouski,Canada,YXK,48.478056,-68.496944
7257,Vakarufahli Island,Vakarufahli Island,Maldives,,3.578742,72.902075
7258,Vakarufalhi Island,Vakarufalhi Island,Maldives,,3.578742,72.902075
7259,Tadoule Lake Airport,Tadoule Lake,Canada,XTL,58.706111,-98.512222
7260,Lac Brochet Airport,Lac Brochet,Canada,XLB,58.614167,-101.468889
7261,South Indian Lake Airport,South Indian Lake,Canada,XSI,56.792778,-98.907222
7262,Brochet Airport,Brochet,Canada,YBT,57.889444,-101.679167
7263,Little Grand Rapids Airport,Little Grand Rapids,Canada,ZGR,52.045,-95.466111
7264,Cross Lake - Charlie Sinclair Memorial Airport,Cross Lake,Canada,YCR,54.610833,-97.760278
7265,Red Sucker Lake Airport,Red Sucker Lake,Canada,YRS,54.167222,-93.557222
7266,Rainbow Lake Airport,Rainbow Lake,Canada,YOP,58.491389,-119.407778
7267,Bonnyville Airport,Bonnyville,Canada,YBY,54.304722,-110.741111
7268,Nanaimo Harbour Water Airport,Nanaimo,Canada,ZNA,49.183333,-123.95
7269,Ganges Water Aerodrome,Ganges,Canada,,48.85,-123.5
7270,Bedwell Harbour Water Aerdrome,Bedwell Harbour,Canada,,48.75,-123.233333
7271,Qualicum Beach Airport,Qualicum Beach,Canada,XQU,49.337222,-124.393889
7272,Fort St. James - Perison Airport,Fort St. James,Canada,YJM,54.397222,-124.262778
7273,Boundary Bay Airport,Boundary Bay,Canada,YDT,49.073889,-123.0075
7274,Langley Regional Airport,Langley Township,Canada,,49.101111,-122.630556
7275,Bella Bella Airport,Bella Bella,Canada,ZEL,52.139722,-128.063611
7276,Sechelt Aerodrome,Sechelt-Gibsons,Canada,YHS,49.460556,-123.718611
7277,Wekweeti Airport,Wekweeti,Canada,,64.190833,-114.076667
7278,Campo Cuatro Milpas Airport,Guasave,Mexico,,25.651944,-108.538056
7279,Isla de Cedros Airport,Cedros,Mexico,,28.0375,-115.189444
7280,Cabo San Lucas International Airport,Cabo San Lucas,Mexico,,22.9475,-109.937081
7281,Bahia Tortugas Airfield,Bahia Tortugas,Mexico,,27.705278,-114.911111
7282,Palo Verde Airport,San Bruno,Mexico,PVP,27.093056,-112.098889
7283,Ziyaraifushi,Ziyaraifushi,Maldives,,4.531313889,73.373325
7284,Brussels Gare du Midi,Brussels,Belgium,ZYR,50.8,4.4
7285,Caye Chapel Airport,Caye Chapel,Belize,CYC,17.683611,-88.045
7286,Big Creek Airport,Big Creek,Belize,BGK,16.516667,-88.416667
7287,Dangriga Airport,Dangriga,Belize,DGA,16.966667,-88.216667
7288,Placencia Airport,Placencia,Belize,PLJ,16.536944,-88.361667
7289,Sartaneja Airport,Sarteneja,Belize,SJX,18.355556,-88.130833
7290,Huehuetenango Airport,Huehuetenango,Guatemala,,15.314722,-91.476111
